Unnamed: 0,index,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Inflight wifi service,Departure/Arrival time convenient,Ease of Online booking,Gate location,Food and drink,Online boarding,Seat comfort,Inflight entertainment,On-board service,Leg room service,Baggage handling,Checkin service,Inflight service,Cleanliness,Departure Delay in Minutes,Arrival Delay in Minutes,satisfaction
2587,73242,Female,Loyal Customer,20,Personal Travel,Business,1587,1,4,1,2,3.0,1,3,3,4,3,5,3,5,3,12,0.0,neutral or dissatisfied
2090,57200,Female,Loyal Customer,13,Personal Travel,Eco,1576,3,5,3,5,2.0,3,2,2,5,2,5,3,5,2,33,27.0,neutral or dissatisfied
1124,123809,Female,Loyal Customer,49,Personal Travel,Eco,733,3,3,2,3,4.0,4,3,5,5,2,5,3,5,2,20,12.0,neutral or dissatisfied
321,5657,Male,Loyal Customer,25,Personal Travel,Eco,466,2,4,0,2,2.0,0,2,2,5,3,4,5,5,2,0,0.0,satisfied
2846,128707,Male,Loyal Customer,69,Personal Travel,Business,113,4,3,3,2,3.0,3,3,3,1,2,2,3,4,3,0,0.0,neutral or dissatisfied
1080,105083,Female,Loyal Customer,32,Personal Travel,Business,86,1,4,4,4,5.0,4,5,5,1,1,1,4,3,5,9,5.0,neutral or dissatisfied
2144,89871,Female,disloyal Customer,29,Business travel,Eco,2556,5,1,1,3,2.0,1,2,2,3,4,3,1,4,2,0,0.0,neutral or dissatisfied
1211,106938,Male,Loyal Customer,40,Business travel,Eco Plus,2680,1,5,5,5,5.0,3,3,4,4,4,4,1,4,1,0,0.0,neutral or dissatisfied
3081,70854,Female,Loyal Customer,41,Business travel,Business,1608,5,3,2,3,5.0,2,3,3,3,3,3,2,3,1,0,0.0,neutral or dissatisfied
1003,96494,Female,Loyal Customer,24,Personal Travel,Business,628,3,4,4,4,2.0,4,2,2,3,5,4,4,5,2,0,0.0,neutral or dissatisfied
229,83196,Male,Loyal Customer,52,Personal Travel,Eco,600,4,0,3,3,4.0,5,3,1,1,3,1,3,1,3,0,0.0,neutral or dissatisfied
2993,33514,Male,Loyal Customer,52,Business travel,Business,2592,3,1,1,1,,3,4,3,3,3,3,3,3,4,0,18.0,neutral or dissatisfied
1364,127967,Female,Loyal Customer,27,Business travel,Eco,746,4,2,2,2,1.0,1,1,1,2,1,3,2,4,1,0,0.0,neutral or dissatisfied
3016,65501,Female,Loyal Customer,36,Business travel,Eco,944,1,5,4,5,2.0,4,5,4,4,4,4,4,4,3,0,0.0,satisfied
314,14353,Male,Loyal Customer,45,Business travel,Eco,391,2,5,5,5,2.0,5,4,5,5,5,5,5,5,4,41,43.0,satisfied
2288,68481,Male,Loyal Customer,60,Business travel,Eco,2948,2,3,3,3,3.0,5,4,4,4,4,4,4,4,5,16,14.0,satisfied
2501,54382,Female,Loyal Customer,16,Business travel,Eco,3081,5,5,1,1,3.0,3,3,3,1,2,4,4,4,3,8,0.0,neutral or dissatisfied
2446,48854,Female,Loyal Customer,28,Business travel,Business,591,2,3,3,3,4.0,4,4,4,3,3,5,4,4,4,23,27.0,satisfied
485,89312,Male,Loyal Customer,15,Personal Travel,Eco,503,4,5,2,5,5.0,2,5,5,4,5,5,5,4,5,43,46.0,neutral or dissatisfied
1912,81532,Female,Loyal Customer,53,Business travel,Business,2475,5,5,5,5,,1,1,2,4,3,2,1,4,1,6,6.0,neutral or dissatisfied
1728,119944,Female,Loyal Customer,25,Business travel,Business,735,4,5,5,5,2.0,2,2,2,4,2,4,5,5,2,0,0.0,satisfied
1767,4667,Female,Loyal Customer,66,Business travel,Eco,3969,3,4,4,4,1.0,3,3,0,0,1,3,3,0,2,0,0.0,neutral or dissatisfied
761,32011,Male,Loyal Customer,50,Business travel,Eco,458,0,1,1,1,1.0,2,5,5,5,5,5,4,5,1,38,89.0,satisfied
